X,Y,Edep
3,19,6.82958E-31
3,20,1.57529E-30
3,21,1.1537E-30
3,22,1.97258E-31
3,23,3.25117E-31
3,24,2.01487E-31
3,25,4.03362E-31
3,26,1.60154E-30
3,27,9.45233E-31
3,28,6.0725E-31
3,29,1.50715E-30
3,30,6.10371E-31
3,31,2.23902E-31
3,32,7.31644E-31
3,33,1.29225E-30
3,34,1.3891E-30
3,35,1.26607E-30
3,36,3.07829E-30
3,37,8.57091E-31
3,38,1.47082E-30
3,39,2.54192E-30
3,40,7.02546E-31
3,41,4.76711E-31
3,42,1.54008E-30
3,43,2.51003E-30
3,44,1.87387E-30
3,45,5.90201E-31
3,46,8.87191E-31
3,47,2.09668E-30
3,48,2.10836E-30
3,49,3.44644E-30
3,50,3.82179E-30
3,51,4.71613E-30
3,52,2.32546E-30
3,53,1.47055E-30
3,54,3.94523E-30
3,55,2.42959E-30
3,56,2.14571E-30
3,57,2.54143E-30
3,58,3.93489E-30
3,59,2.15107E-30
3,60,1.38153E-30
3,61,9.94376E-31
3,62,9.67904E-31
3,63,1.81931E-30
3,64,4.69603E-30
3,65,6.64075E-30
3,66,6.04742E-30
3,67,1.12804E-29
3,68,2.9206E-30
3,69,2.23631E-30
3,70,2.22851E-30
3,71,2.44498E-30
3,72,9.08978E-07
3,73,6.38112E-05
3,74,1.83913E-06
3,75,8.2321E-05
3,76,2.14931E-05
3,77,2.60575E-05
3,78,4.33395E-05
3,79,2.01798E-05
3,80,0.000236452
3,81,3.44672E-05
3,82,0.000484528
3,83,0.000491359
3,84,0.000489271
3,85,0.000156929
3,86,0.000457413
3,87,0.001057621
3,88,0.000321489
3,89,0.003537568
3,90,0.001178655
3,91,0.000325639
3,92,0.00104483
3,93,0.001954639
3,94,0.004659896
3,95,0.007626796
3,96,0.009477071
3,97,0.021372202
3,98,0.033459184
3,99,0.316757346
3,100,0.513716858
3,101,0.027300352
3,102,0.011058509
3,103,0.005450424
3,104,0.002908285
3,105,0.002570734
3,106,0.002112862
3,107,0.000737168
3,108,0.000304209
3,109,0.001788688
3,110,0.000345537
3,111,0.000424695
3,112,0.000454252
3,113,0.001192851
3,114,0.001173428
3,115,0.000809852
3,116,0.00019604
3,117,0.000399121
3,118,0.000534471
3,119,2.14192E-05
3,120,0.000542831
3,121,0.000254201
3,122,4.67703E-05
3,123,5.37021E-05
3,124,3.1433E-30
3,125,7.01569E-06
3,126,4.69298E-06
3,127,3.75268E-30
3,128,1.0563E-29
3,129,9.53726E-30
3,130,1.08178E-29
3,131,5.42171E-30
3,132,5.61755E-30
3,133,1.98601E-30
3,134,1.08239E-30
3,135,1.29008E-30
3,136,4.15392E-30
3,137,2.2144E-29
3,138,2.185E-29
3,139,2.17919E-29
3,140,2.23161E-29
3,141,2.47141E-29
3,142,2.6163E-29
3,143,3.2833E-29
3,144,2.2028E-29
3,145,2.16425E-29
3,146,2.15353E-29
3,147,2.12674E-29
3,148,2.18955E-29
3,149,2.12273E-29
3,150,2.53576E-29
3,151,2.32029E-29
3,152,2.27568E-29
3,153,2.16767E-29
3,154,2.40953E-29
3,155,2.20457E-29
3,156,2.12863E-29
3,157,2.11207E-29
3,158,2.21048E-29
3,159,2.32238E-29
3,160,2.11907E-29
3,161,2.08879E-29
3,162,2.17379E-29
3,163,2.18055E-29
3,164,2.12973E-29
3,165,2.16702E-29
3,166,2.11624E-29
3,167,2.20415E-29
3,168,2.19286E-29
3,169,2.82512E-29
3,170,2.39818E-29
3,171,2.1501E-29
3,172,2.12924E-29
3,173,2.15154E-29
3,174,2.36977E-29
3,175,2.36694E-29
3,176,2.19389E-29
3,177,2.30801E-29
3,178,5.1392E-29
3,179,2.98317E-29
3,180,2.7606E-29
3,181,2.23017E-29
3,182,2.1123E-29
3,183,2.06898E-29
3,184,2.03989E-29
3,185,2.02109E-29
3,186,2.05403E-29
3,187,2.08292E-29
3,188,2.05208E-29
3,189,2.04215E-29
3,190,3.26944E-29
3,191,2.54484E-29
3,192,2.19281E-29
3,193,2.18756E-29
3,194,2.15899E-29
3,195,2.13038E-29
