T/s,I_EBIC/A,I_prim/A,I_P/nA,I_se/nA
12.81666667,7.48796E-09,2.58248E-08,25.8248,7.48795533
12.83333333,7.59882E-09,2.58475E-08,25.8475,7.598815447
12.85,7.71381E-09,2.54017E-08,25.4017,7.713811314
12.86666667,7.82896E-09,2.551E-08,25.51,7.828964987
12.88333333,7.94412E-09,2.60826E-08,26.0826,7.944118659
12.9,8.05927E-09,2.66411E-08,26.6411,8.059272331
12.91666667,8.17443E-09,2.72902E-08,27.2902,8.174426004
12.93333333,8.28958E-09,2.79485E-08,27.9485,8.289579676
12.95,8.40473E-09,2.88726E-08,28.8726,8.404733349
12.96666667,8.51989E-09,2.86033E-08,28.6033,8.519887021
12.98333333,8.63504E-09,2.86677E-08,28.6677,8.635040693
13,8.75019E-09,2.96746E-08,29.6746,8.750194366
13.01666667,8.86535E-09,3.00951E-08,30.0951,8.865348038
13.03333333,8.9805E-09,3.00054E-08,30.0054,8.98050171
13.05,9.2038E-09,3.04504E-08,30.4504,9.203796801
13.06666667,9.43145E-09,3.23144E-08,32.3144,9.431447319
13.08333333,9.6591E-09,3.2245E-08,32.245,9.659097838
13.1,9.88675E-09,3.43537E-08,34.3537,9.886748356
13.11666667,1.01144E-08,3.46283E-08,34.6283,10.11439887
13.13333333,1.0342E-08,3.48456E-08,34.8456,10.34204939
13.15,1.05697E-08,3.61729E-08,36.1729,10.56969991
13.16666667,1.07974E-08,3.65179E-08,36.5179,10.79735043
13.18333333,1.1025E-08,3.7678E-08,37.678,11.02500095
13.2,1.12527E-08,3.82759E-08,38.2759,11.25265147
13.21666667,1.14803E-08,3.90371E-08,39.0371,11.48030199
13.23333333,1.1708E-08,3.82795E-08,38.2795,11.7079525
13.25,1.17391E-08,4.08195E-08,40.8195,11.73905948
13.26666667,1.17617E-08,4.07873E-08,40.7873,11.76165674
13.28333333,1.17843E-08,4.07606E-08,40.7606,11.784254
13.3,1.18069E-08,3.9974E-08,39.974,11.80685126
13.31666667,1.18294E-08,4.1009E-08,41.009,11.82944853
13.33333333,1.1852E-08,3.86971E-08,38.6971,11.85204579
13.35,1.18746E-08,3.95602E-08,39.5602,11.87464305
13.36666667,1.18972E-08,4.06878E-08,40.6878,11.89724031
13.38333333,1.19198E-08,4.11274E-08,41.1274,11.91983758
13.4,1.19424E-08,4.12842E-08,41.2842,11.94243484
13.41666667,1.1965E-08,4.10772E-08,41.0772,11.9650321
13.43333333,1.19876E-08,4.08074E-08,40.8074,11.98762936
13.45,1.20102E-08,4.1496E-08,41.496,12.01022663
13.46666667,1.20328E-08,4.05965E-08,40.5965,12.03282389
13.48333333,1.20554E-08,4.03754E-08,40.3754,12.05542115
