section,coordinate_um,X,Y,Z,Edep
"y=0, z=0",0.07537688442211055,15,100,100,0.0107708845109178
"y=0, z=0",0.08040201005025126,16,100,100,0.0100322252192047
"y=0, z=0",0.08542713567839195,17,100,100,0.0098253093525791
"y=0, z=0",0.09045226130653267,18,100,100,0.0099273646465755
"y=0, z=0",0.09547738693467336,19,100,100,0.0093152534789501
"y=0, z=0",0.10050251256281408,20,100,100,0.0093920382661377
"y=0, z=0",0.10552763819095477,21,100,100,0.009331768097502
"y=0, z=0",0.11055276381909548,22,100,100,0.0087249212459306
"y=0, z=0",0.11557788944723618,23,100,100,0.0085669667858761
"y=0, z=0",0.12060301507537688,24,100,100,0.008210521885028
"y=0, z=0",0.12562814070351758,25,100,100,0.0079288573358328
"y=0, z=0",0.1306532663316583,26,100,100,0.0076316215778148
"y=0, z=0",0.135678391959799,27,100,100,0.0075873481434328
"y=0, z=0",0.1407035175879397,28,100,100,0.0069705765468
"y=0, z=0",0.1457286432160804,29,100,100,0.0068870573122957
"y=0, z=0",0.1507537688442211,30,100,100,0.0066266243466643
"y=0, z=0",0.15577889447236182,31,100,100,0.0066991160494857
"y=0, z=0",0.16080402010050251,32,100,100,0.0060700894654102
"y=0, z=0",0.1658291457286432,33,100,100,0.0059663475975774
"y=0, z=0",0.1708542713567839,34,100,100,0.0057012225896107
"y=0, z=0",0.17587939698492464,35,100,100,0.005429265785349
"y=0, z=0",0.18090452261306533,36,100,100,0.005493166134183
"y=0, z=0",0.18592964824120603,37,100,100,0.0052092429046991
"y=0, z=0",0.19095477386934673,38,100,100,0.0050946091302633
"y=0, z=0",0.19597989949748743,39,100,100,0.0049085144593696
"y=0, z=0",0.20100502512562815,40,100,100,0.0045284068431283
"y=0, z=0",0.20603015075376885,41,100,100,0.0044901086065145
"y=0, z=0",0.21105527638190955,42,100,100,0.0042405360735466
"y=0, z=0",0.21608040201005024,43,100,100,0.0041532687082349
"y=0, z=0",0.22110552763819097,44,100,100,0.0040913397877217
"y=0, z=0",0.22613065326633167,45,100,100,0.0038845160011864
"y=0, z=0",0.23115577889447236,46,100,100,0.0039605130756793
"y=0, z=0",0.23618090452261306,47,100,100,0.0037101739055686
